"state","sex","year","total","daily"
"Alabama","Males",1996,30.05,24.91
"Alabama","Females",1996,23.06,19.16
"Alabama","Both",1996,26.49,21.98
"Alabama","Males",1997,30.15,24.68
"Alabama","Females",1997,23.22,19.08
"Alabama","Both",1997,26.63,21.83
"Alabama","Males",1998,30.13,24.3
"Alabama","Females",1998,23.26,18.94
"Alabama","Both",1998,26.63,21.57
"Alabama","Males",1999,29.94,23.66
"Alabama","Females",1999,23.72,18.96
"Alabama","Both",1999,26.77,21.27
"Alabama","Males",2000,29.63,23.14
"Alabama","Females",2000,23.82,18.95
"Alabama","Both",2000,26.67,21.01
"Alabama","Males",2001,29.74,23.01
"Alabama","Females",2001,24.21,19.16
"Alabama","Both",2001,26.93,21.05
"Alabama","Males",2002,29.85,22.78
"Alabama","Females",2002,24.27,19.02
"Alabama","Both",2002,27.01,20.86
"Alabama","Males",2003,30.11,22.94
"Alabama","Females",2003,24.09,18.92
"Alabama","Both",2003,27.05,20.89
"Alabama","Males",2004,30.16,23.23
"Alabama","Females",2004,24.05,18.9
"Alabama","Both",2004,27.05,21.03
"Alabama","Males",2005,29.76,22.75
"Alabama","Females",2005,23.57,18.26
"Alabama","Both",2005,26.61,20.46
"Alabama","Males",2006,29.33,22.13
"Alabama","Females",2006,23.14,17.79
"Alabama","Both",2006,26.18,19.92
"Alabama","Males",2007,29.16,21.94
"Alabama","Females",2007,22.62,17.35
"Alabama","Both",2007,25.83,19.6
"Alabama","Males",2008,28.71,21.29
"Alabama","Females",2008,22.4,17
"Alabama","Both",2008,25.5,19.11
"Alabama","Males",2009,28.33,20.84
"Alabama","Females",2009,21.81,16.49
"Alabama","Both",2009,25.01,18.63
"Alabama","Males",2010,28.26,20.53
"Alabama","Females",2010,21.77,16.4
"Alabama","Both",2010,24.96,18.43
"Alabama","Males",2011,27.64,20.27
"Alabama","Females",2011,21.6,16.24
"Alabama","Both",2011,24.56,18.22
"Alabama","Males",2012,26.85,19.42
"Alabama","Females",2012,21.04,15.62
"Alabama","Both",2012,23.89,17.48
"Alaska","Males",1996,28.69,22.65
"Alaska","Females",1996,24.1,19.65
"Alaska","Both",1996,26.35,21.12
"Alaska","Males",1997,28.02,21.71
"Alaska","Females",1997,23.93,19.24
"Alaska","Both",1997,25.94,20.45
"Alaska","Males",1998,27.73,21.14
"Alaska","Females",1998,23.9,19
"Alaska","Both",1998,25.78,20.05
"Alaska","Males",1999,27.11,20.51
"Alaska","Females",1999,24.52,19.2
"Alaska","Both",1999,25.79,19.84
"Alaska","Males",2000,27.43,20.36
"Alaska","Females",2000,24.66,18.96
"Alaska","Both",2000,26.02,19.65
"Alaska","Males",2001,27.82,20.8
"Alaska","Females",2001,25.02,18.56
"Alaska","Both",2001,26.4,19.66
"Alaska","Males",2002,28.5,21.15
"Alaska","Females",2002,24.68,17.93
"Alaska","Both",2002,26.55,19.51
"Alaska","Males",2003,28.57,21.13
"Alaska","Females",2003,24.26,17.3
"Alaska","Both",2003,26.38,19.18
"Alaska","Males",2004,28.59,21.07
"Alaska","Females",2004,23.8,16.73
"Alaska","Both",2004,26.15,18.86
"Alaska","Males",2005,27.73,20.1
"Alaska","Females",2005,22.96,15.92
"Alaska","Both",2005,25.3,17.97
"Alaska","Males",2006,26.84,19.34
"Alaska","Females",2006,22.42,15.61
"Alaska","Both",2006,24.59,17.44
"Alaska","Males",2007,25.58,18.42
"Alaska","Females",2007,21.97,15.26
"Alaska","Both",2007,23.74,16.81
"Alaska","Males",2008,24.38,17.39
"Alaska","Females",2008,21.12,14.65
"Alaska","Both",2008,22.72,16
"Alaska","Males",2009,23.85,16.99
"Alaska","Females",2009,20.91,14.41
"Alaska","Both",2009,22.35,15.68
"Alaska","Males",2010,23.65,16.67
"Alaska","Females",2010,20.77,14.47
"Alaska","Both",2010,22.18,15.55
"Alaska","Males",2011,24.17,16.94
"Alaska","Females",2011,20.93,15.03
"Alaska","Both",2011,22.52,15.97
"Alaska","Males",2012,23.37,16.08
"Alaska","Females",2012,20.33,14.39
"Alaska","Both",2012,21.82,15.22
"Arizona","Males",1996,26.77,23.08
"Arizona","Females",1996,20.48,18.12
"Arizona","Both",1996,23.57,20.55
"Arizona","Males",1997,26.09,22.16
"Arizona","Females",1997,20.1,17.56
"Arizona","Both",1997,23.04,19.82
"Arizona","Males",1998,25.83,21.73
"Arizona","Females",1998,20.01,17.24
"Arizona","Both",1998,22.87,19.44
"Arizona","Males",1999,25.4,20.52
"Arizona","Females",1999,20.27,16.53
"Arizona","Both",1999,22.79,18.49
"Arizona","Males",2000,26.01,20.62
"Arizona","Females",2000,20.72,16.43
"Arizona","Both",2000,23.32,18.49
"Arizona","Males",2001,25.91,19.99
"Arizona","Females",2001,21,16.16
"Arizona","Both",2001,23.41,18.04
"Arizona","Males",2002,25.35,18.75
"Arizona","Females",2002,21.72,16.09
"Arizona","Both",2002,23.5,17.39
"Arizona","Males",2003,26.09,18.87
"Arizona","Females",2003,21.82,16.11
"Arizona","Both",2003,23.92,17.46
"Arizona","Males",2004,25.93,18.45
"Arizona","Females",2004,21.02,15.59
"Arizona","Both",2004,23.43,17
"Arizona","Males",2005,25.89,18.09
"Arizona","Females",2005,20.4,14.84
"Arizona","Both",2005,23.1,16.43
"Arizona","Males",2006,25.36,17.21
"Arizona","Females",2006,19.87,14.42
"Arizona","Both",2006,22.57,15.79
"Arizona","Males",2007,25.23,17.03
"Arizona","Females",2007,19,13.8
"Arizona","Both",2007,22.06,15.38
"Arizona","Males",2008,24.04,16.2
"Arizona","Females",2008,18.11,13.01
"Arizona","Both",2008,21.03,14.57
"Arizona","Males",2009,23.37,15.91
"Arizona","Females",2009,18.07,12.99
"Arizona","Both",2009,20.68,14.42
"Arizona","Males",2010,23.28,15.48
"Arizona","Females",2010,18.01,13.02
"Arizona","Both",2010,20.6,14.23
"Arizona","Males",2011,24,15.89
"Arizona","Females",2011,18.53,13.37
"Arizona","Both",2011,21.21,14.61
"Arizona","Males",2012,23.22,15.1
"Arizona","Females",2012,17.97,12.78
"Arizona","Both",2012,20.55,13.92
"Arkansas","Males",1996,31.4,27.35
"Arkansas","Females",1996,25.84,22.33
"Arkansas","Both",1996,28.57,24.8
"Arkansas","Males",1997,31.15,26.73
"Arkansas","Females",1997,25.81,22.03
"Arkansas","Both",1997,28.43,24.34
"Arkansas","Males",1998,31.13,26.35
"Arkansas","Females",1998,25.89,21.81
"Arkansas","Both",1998,28.46,24.04
"Arkansas","Males",1999,30.88,25.57
"Arkansas","Females",1999,26.04,21.61
"Arkansas","Both",1999,28.41,23.56
"Arkansas","Males",2000,30.72,25.13
"Arkansas","Females",2000,26.09,21.41
"Arkansas","Both",2000,28.36,23.24
"Arkansas","Males",2001,31.11,25.31
"Arkansas","Females",2001,26.21,21.37
"Arkansas","Both",2001,28.62,23.3
"Arkansas","Males",2002,30.73,24.37
"Arkansas","Females",2002,26.03,20.96
"Arkansas","Both",2002,28.34,22.63
"Arkansas","Males",2003,30.9,24.36
"Arkansas","Females",2003,25.95,20.77
"Arkansas","Both",2003,28.38,22.53
"Arkansas","Males",2004,30.26,23.78
"Arkansas","Females",2004,25.49,20.21
"Arkansas","Both",2004,27.83,21.96
"Arkansas","Males",2005,30.05,23.48
"Arkansas","Females",2005,25.34,20.05
"Arkansas","Both",2005,27.65,21.73
"Arkansas","Males",2006,29.68,22.87
"Arkansas","Females",2006,25.23,19.61
"Arkansas","Both",2006,27.41,21.21
"Arkansas","Males",2007,29.05,22.26
"Arkansas","Females",2007,24.94,19.19
"Arkansas","Both",2007,26.96,20.7
"Arkansas","Males",2008,29.04,22.09
"Arkansas","Females",2008,24.75,18.99
"Arkansas","Both",2008,26.86,20.51
"Arkansas","Males",2009,28.86,21.6
"Arkansas","Females",2009,24.52,18.78
"Arkansas","Both",2009,26.65,20.16
"Arkansas","Males",2010,28.43,20.99
"Arkansas","Females",2010,24.08,18.1
"Arkansas","Both",2010,26.22,19.52
"Arkansas","Males",2011,28.35,20.99
"Arkansas","Females",2011,24.23,18.27
"Arkansas","Both",2011,26.25,19.6
"Arkansas","Males",2012,27.58,20.12
"Arkansas","Females",2012,23.64,17.6
"Arkansas","Both",2012,25.58,18.84
"California","Males",1996,23.53,17.48
"California","Females",1996,17.14,12.54
"California","Both",1996,20.27,14.97
"California","Males",1997,23.44,17.07
"California","Females",1997,17.06,12.43
"California","Both",1997,20.19,14.71
"California","Males",1998,23.34,16.67
"California","Females",1998,17.05,12.29
"California","Both",1998,20.14,14.45
"California","Males",1999,23.26,16.62
"California","Females",1999,16.68,12.15
"California","Both",1999,19.91,14.34
"California","Males",2000,23.16,16.49
"California","Females",2000,16.61,11.99
